# Created by Octave 3.6.4  Fri Dec 05 01:25:37 2014 GMT <maxx@maxx-K52Jc>
# name: X
# type: matrix
# rows: 278 
# columns: 7
20 3 5 1 0 138.27 3
19 3 4 3 0 139.27 3
19 3 4 0 100 142.27 0
19 3 4 20 0 42.27 1
18 3 3 3 0 62.27 3
18 3 3 50 0 65.27 1
17 3 2 6.25 0 115.27 3
17 3 2 13.63 0 121.52 3
17 3 2 3.25 0 135.15 3
17 3 2 1700 0 138.4 0
14 3 6 15.55 0 1838.4 3
13 3 5 13 0 1853.95 3
13 3 5 5 0 1866.95 3
13 3 5 3 0 1871.95 3
12 3 4 6 0 1874.95 3
12 3 4 10 0 1880.95 1
11 3 3 7.24 0 1890.95 3
10 3 2 5.21 0 1898.19 3
10 3 2 20 0 1903.4 3
10 3 2 5.5 0 1923.4 3
10 3 2 0 1818.18 1928.9 3
10 3 2 20 0 110.72 1
7 3 6 10.01 0 130.72 3
6 3 5 1.77 0 140.73 3
6 3 5 0 100 142.5 0
4 3 3 18.28 0 42.5 3
3 3 2 20 0 60.78 3
3 3 2 10 0 80.78 3
3 3 2 19.5 0 90.78 3
3 3 2 1.43 0 110.28 3
3 3 2 450 0 111.71 2
28 2 6 20 0 561.71 1
28 2 6 8.48 0 581.71 3
28 2 6 6.4 0 590.19 3
28 2 6 0 450 596.59 0
27 2 5 3 0 146.59 3
27 2 5 10 0 149.59 3
27 2 5 345 0 159.59 0
27 2 5 0 400 504.59 0
26 2 4 67.99 0 104.59 3
25 2 3 11.98 0 172.58 3
24 2 2 0 100 184.56 0
21 2 6 5.05 0 84.56 3
19 2 4 17 0 89.61 3
17 2 2 3 0 106.61 3
17 2 2 4.16 0 109.61 3
17 2 2 0 100 113.77 0
17 2 2 50 0 13.77 1
14 2 6 8.55 0 63.77 3
13 2 5 6.18 0 72.32 3
13 2 5 1 0 78.5 3
13 2 5 0.08 0 79.5 3
13 2 5 2.86 0 79.58 3
12 2 4 15.94 0 82.44 3
11 2 3 0 50 98.38 0
10 2 2 10.78 0 48.38 3
10 2 2 10 0 59.16 3
10 2 2 9.3 0 69.16 3
10 2 2 2.8 0 78.46 3
10 2 2 5.91 0 81.26 3
10 2 2 50 0 87.17 1
10 2 2 0 50 137.17 0
5 2 4 10 0 87.17 3
5 2 4 90 0 97.17 0
3 2 2 0 90 187.17 0
3 2 2 450 0 97.17 2

